productType,variantId,sku,prices,tax,categories,images,name.en,description.en,slug.en,metaTitle.en,metaDescription.en,metaKeywords.en,name.de,description.de,slug.de,metaTitle.de,metaDescription.de,metaKeywords.de,name.it,description.it,slug.it,metaTitle.it,metaDescription.it,metaKeywords.it,creationDate,articleNumberManufacturer,articleNumberMax,matrixId,baseId,designer,madeInItaly,completeTheLook,commonSize,size,color,colorFreeDefinition.en,details.en,colorFreeDefinition.de,details.de,colorFreeDefinition.it,details.it,style,gender,season,isOnStock,isLook,lookProducts,seasonNew
main,1,200000001, USD 3290,standard,Shop>Groceries>Fresh,"https://spud-res.cloudinary.com/w_900/f_auto,q_auto,c_fill,h_300,e_improve:30,e_sharpen:60/spudca/Products/-282915312_Mushrooms_Crimini_v2.jpg","Local Organic Mushrooms, Crimini - BC Grown","Not only are numerous health advantages offered by these little wonders (including anti-cancer benefits, antioxidant benefits, and immune system support), but organic crimini mushrooms taste great too. Crimini mushrooms are juvenile portabellas (aka portobellos) which have a deeper, denser, earthier flavour than White mushrooms and are the perfect addition to a delicious meal.",local-organic-mushrooms-crimini-bc-grown-200000001,,,,"Local Organic Mushrooms, Crimini - BC Grown","Not only are numerous health advantages offered by these little wonders (including anti-cancer benefits, antioxidant benefits, and immune system support), but organic crimini mushrooms taste great too. Crimini mushrooms are juvenile portabellas (aka portobellos) which have a deeper, denser, earthier flavour than White mushrooms and are the perfect addition to a delicious meal.",local-organic-mushrooms-crimini-bc-grown-200000001,,,,"Local Organic Mushrooms, Crimini - BC Grown","Not only are numerous health advantages offered by these little wonders (including anti-cancer benefits, antioxidant benefits, and immune system support), but organic crimini mushrooms taste great too. Crimini mushrooms are juvenile portabellas (aka portobellos) which have a deeper, denser, earthier flavour than White mushrooms and are the perfect addition to a delicious meal.",local-organic-mushrooms-crimini-bc-grown-200000001,,,,,,,,1,,,,,,,,,,,Black,multi,,multi,,,,,
main,1,200000002,USD 6990,standard,Shop>Groceries>Fresh,"https://spud-res.cloudinary.com/w_900/f_auto,q_auto,c_fill,h_300,e_improve:30,e_sharpen:60/spudca/Products/738921401_Dates_Medjool_8oz.jpg","Organic Date, Medjool, 8 oz","The Medjool Date, once a delicacy know only to royalty, is now the most popular date in the world. Per Serving Size: 2 to 3 dates (40g) dates have: Calories: 140 - Sodium: 10mg - Total Carbohydrates: 36g - Dietary Fiber - 3g - Sugars - 29g - Protein: 1g - Potassium: 200mg - Calcium: 2% & Iron: 2% of Daily Recommended Value",organic-date-medjool-8-oz-200000002,,,,"Organic Date, Medjool, 8 oz","The Medjool Date, once a delicacy know only to royalty, is now the most popular date in the world. Per Serving Size: 2 to 3 dates (40g) dates have: Calories: 140 - Sodium: 10mg - Total Carbohydrates: 36g - Dietary Fiber - 3g - Sugars - 29g - Protein: 1g - Potassium: 200mg - Calcium: 2% & Iron: 2% of Daily Recommended Value",organic-date-medjool-8-oz-200000002,,,,"Organic Date, Medjool, 8 oz","The Medjool Date, once a delicacy know only to royalty, is now the most popular date in the world. Per Serving Size: 2 to 3 dates (40g) dates have: Calories: 140 - Sodium: 10mg - Total Carbohydrates: 36g - Dietary Fiber - 3g - Sugars - 29g - Protein: 1g - Potassium: 200mg - Calcium: 2% & Iron: 2% of Daily Recommended Value",organic-date-medjool-8-oz-200000002,,,,,,,,2,,,,,,,,,,,Black,multi,,multi,,,,,
main,1,200000003,USD 9900,standard,Shop>Groceries>Fresh,"https://spud-res.cloudinary.com/w_900/f_auto,q_auto,c_fill,h_300,e_improve:30,e_sharpen:60/spudca/Products/-419910629_Avocado_Hass_v2.jpg","Organic Avocado, Hass","Creamy, buttery and oh so decadent, avocados are a great addition to any sushi roll, sandwich, salad or Mexican dish. They also provide nearly 20 essential nutrients, including Vitamin E, B-Vitamins, folic acid and essential fats",organic-avocado-hass-200000003,,,,"Organic Avocado, Hass","Creamy, buttery and oh so decadent, avocados are a great addition to any sushi roll, sandwich, salad or Mexican dish. They also provide nearly 20 essential nutrients, including Vitamin E, B-Vitamins, folic acid and essential fats",organic-avocado-hass-200000003,,,,"Organic Avocado, Hass","Creamy, buttery and oh so decadent, avocados are a great addition to any sushi roll, sandwich, salad or Mexican dish. They also provide nearly 20 essential nutrients, including Vitamin E, B-Vitamins, folic acid and essential fats",organic-avocado-hass-200000003,,,,,,,,3,,,,,,,,,,,Black,multi,,multi,,,,,
main,1,200000004,USD 3990,standard,Shop>Groceries>Fresh,"https://spud-res.cloudinary.com/w_900/f_auto,q_auto,c_fill,h_300,e_improve:30,e_sharpen:60/spudca/Products/-100911902_Celery.jpg",Organic Celery,"Celery has a fresh clean taste and its crunch gives a nice texture to salads, soups, stews and casseroles. We enjoy celery served on its own with a creamy dip or peanut butter.",organic-celery-200000004,,,,Organic Celery,"Celery has a fresh clean taste and its crunch gives a nice texture to salads, soups, stews and casseroles. We enjoy celery served on its own with a creamy dip or peanut butter.",organic-celery-200000004,,,,Organic Celery,"Celery has a fresh clean taste and its crunch gives a nice texture to salads, soups, stews and casseroles. We enjoy celery served on its own with a creamy dip or peanut butter.",organic-celery-200000004,,,,,,,,4,,,,,,,,,,,Black,multi,,multi,,,,,
main,1,200000005,USD 2490,standard,Shop>Groceries>Fresh,"https://spud-res.cloudinary.com/w_900/f_auto,q_auto,c_fill,h_300,e_improve:30,e_sharpen:60/spudca/Products/386910101_apples_ambrosia.jpg","Local Organic Apples, Ambrosia","The skin is smooth, with a bright, almost iridescent pink blush over a creamy white background. The flesh is creamy, tender, and juicy, with a very fine, crisp texture. It is a sweet, low-acid apple, with a pleasing aroma",local-organic-apples-ambrosia-200000005,,,,"Local Organic Apples, Ambrosia","The skin is smooth, with a bright, almost iridescent pink blush over a creamy white background. The flesh is creamy, tender, and juicy, with a very fine, crisp texture. It is a sweet, low-acid apple, with a pleasing aroma",local-organic-apples-ambrosia-200000005,,,,"Local Organic Apples, Ambrosia","The skin is smooth, with a bright, almost iridescent pink blush over a creamy white background. The flesh is creamy, tender, and juicy, with a very fine, crisp texture. It is a sweet, low-acid apple, with a pleasing aroma",local-organic-apples-ambrosia-200000005,,,,,,,,5,,,,,,,,,,,Black,multi,,multi,,,,,
main,1,200000006,USD 7990,standard,Shop>Groceries>Fresh,"https://spud-res.cloudinary.com/w_900/f_auto,q_auto,c_fill,h_300,e_improve:30,e_sharpen:60/spudca/Products/859910101_Apples_Bagged_Ambrosia_v2.jpg","Local Organic Apples, Bagged Ambrosia","The skin is smooth, with a bright, almost iridescent pink blush over a creamy white background. The flesh is creamy, tender, and juicy, with a very fine, crisp texture. It is a sweet, low-acid apple, with a pleasing aroma.",local-organic-apples-bagged-ambrosia-200000006,,,,"Local Organic Apples, Bagged Ambrosia","The skin is smooth, with a bright, almost iridescent pink blush over a creamy white background. The flesh is creamy, tender, and juicy, with a very fine, crisp texture. It is a sweet, low-acid apple, with a pleasing aroma.",local-organic-apples-bagged-ambrosia-200000006,,,,"Local Organic Apples, Bagged Ambrosia","The skin is smooth, with a bright, almost iridescent pink blush over a creamy white background. The flesh is creamy, tender, and juicy, with a very fine, crisp texture. It is a sweet, low-acid apple, with a pleasing aroma.",local-organic-apples-bagged-ambrosia-200000006,,,,,,,,6,,,,,,,,,,,Black,multi,,multi,,,,,
main,1,200000007,USD 7990,standard,Shop>Groceries>Fresh,"https://spud-res.cloudinary.com/w_900/f_auto,q_auto,c_fill,h_300,e_improve:30,e_sharpen:60/spudca/Products/786910101_bagged_apples_fuji.jpg","Local Organic Apples, Bagged Fuji","These apples have a base colouring of yellow and green overlaid with red stripes, Fuji apples are juicy and sweet with firm, cream-coloured flesh. Excellent for desserts or eating out-of-hand.",local-organic-apples-bagged-fuji-200000007,,,,"Local Organic Apples, Bagged Fuji","These apples have a base colouring of yellow and green overlaid with red stripes, Fuji apples are juicy and sweet with firm, cream-coloured flesh. Excellent for desserts or eating out-of-hand.",local-organic-apples-bagged-fuji-200000007,,,,"Local Organic Apples, Bagged Fuji","These apples have a base colouring of yellow and green overlaid with red stripes, Fuji apples are juicy and sweet with firm, cream-coloured flesh. Excellent for desserts or eating out-of-hand.",local-organic-apples-bagged-fuji-200000007,,,,,,,,7,,,,,,,,,,,Black,multi,,multi,,,,,
main,1,200000008,USD 7990,standard,Shop>Groceries>Fresh,"https://spud-res.cloudinary.com/w_900/f_auto,q_auto,c_fill,h_300,e_improve:30,e_sharpen:60/spudca/Products/554910101_apples_bagged_gala.jpg","Local Organic Apples, Bagged Gala","The Gala apple blends modern and old-fashioned parentage. It is aromatic with a very sweet flavor and crisp, firm texture. This variety has Cox's Orange Pippin, and both Red and Golden Delicious in its family tree. It ripens early and keeps well.",local-organic-apples-bagged-gala-200000008,,,,"Local Organic Apples, Bagged Gala","The Gala apple blends modern and old-fashioned parentage. It is aromatic with a very sweet flavor and crisp, firm texture. This variety has Cox's Orange Pippin, and both Red and Golden Delicious in its family tree. It ripens early and keeps well.",local-organic-apples-bagged-gala-200000008,,,,"Local Organic Apples, Bagged Gala","The Gala apple blends modern and old-fashioned parentage. It is aromatic with a very sweet flavor and crisp, firm texture. This variety has Cox's Orange Pippin, and both Red and Golden Delicious in its family tree. It ripens early and keeps well.",local-organic-apples-bagged-gala-200000008,,,,,,,,8,,,,,,,,,,,Black,multi,,multi,,,,,
main,1,200000009,USD 24990,standard,Shop>Groceries>Fresh,"https://spud-res.cloudinary.com/w_900/f_auto,q_auto,c_fill,h_300,e_improve:30,e_sharpen:60/spudca/Products/1005910101_BC_Apple_Sampler.jpg","Local Organic Apples, BC Apple Sampler","A selection of 3-4 BC grown apple varieties, this box contains 10lbs of Organic BC Apples. Varieties may include Ambrosia, Gala, Honeycrisp, McIntosh, Fuji and others.",local-organic-apples-bc-apple-sampler-200000009,,,,"Local Organic Apples, BC Apple Sampler","A selection of 3-4 BC grown apple varieties, this box contains 10lbs of Organic BC Apples. Varieties may include Ambrosia, Gala, Honeycrisp, McIntosh, Fuji and others.",local-organic-apples-bc-apple-sampler-200000009,,,,"Local Organic Apples, BC Apple Sampler","A selection of 3-4 BC grown apple varieties, this box contains 10lbs of Organic BC Apples. Varieties may include Ambrosia, Gala, Honeycrisp, McIntosh, Fuji and others.",local-organic-apples-bc-apple-sampler-200000009,,,,,,,,9,,,,,,,,,,,Black,multi,,multi,,,,,
main,1,200000010,USD 2490,standard,Shop>Groceries>Fresh,"https://spud-res.cloudinary.com/w_900/f_auto,q_auto,c_fill,h_300,e_improve:30,e_sharpen:60/spudca/Products/298910101_gala.jpg","Local Organic Apples, Gala","With its mild sweet flavour, crisp texture, and picture-perfect red colour, is it a surprise that the Gala is one of the most popular apples? Our produce team here at Spud.ca ensures that our organic Gala apples arrive to you as though they were picked right off of the tree: fresh and delicious. If it’s not perfect, we’ll refund you, no questions asked. Try our organic Gala apples sautéed in our Kale with Sautéed Apple and Onion recipe. Check out our recipe page for more meal ideas with fresh Gala apples. Organic Gala apples can be delivered to most areas on Vancouver Island. Have a look at our delivery page for times and routes across the island.",local-organic-apples-gala-200000010,,,,"Local Organic Apples, Gala","With its mild sweet flavour, crisp texture, and picture-perfect red colour, is it a surprise that the Gala is one of the most popular apples? Our produce team here at Spud.ca ensures that our organic Gala apples arrive to you as though they were picked right off of the tree: fresh and delicious. If it’s not perfect, we’ll refund you, no questions asked. Try our organic Gala apples sautéed in our Kale with Sautéed Apple and Onion recipe. Check out our recipe page for more meal ideas with fresh Gala apples. Organic Gala apples can be delivered to most areas on Vancouver Island. Have a look at our delivery page for times and routes across the island.",local-organic-apples-gala-200000010,,,,"Local Organic Apples, Gala","With its mild sweet flavour, crisp texture, and picture-perfect red colour, is it a surprise that the Gala is one of the most popular apples? Our produce team here at Spud.ca ensures that our organic Gala apples arrive to you as though they were picked right off of the tree: fresh and delicious. If it’s not perfect, we’ll refund you, no questions asked. Try our organic Gala apples sautéed in our Kale with Sautéed Apple and Onion recipe. Check out our recipe page for more meal ideas with fresh Gala apples. Organic Gala apples can be delivered to most areas on Vancouver Island. Have a look at our delivery page for times and routes across the island.",local-organic-apples-gala-200000010,,,,,,,,10,,,,,,,,,,,Black,multi,,multi,,,,,
